f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f_sideSquare,teacher,current_eval,game_idx,move_idx
3,2,3,44,0,13,0,2,16,3,0,10,11,347672.550,348247,1,4250
1,2,2,43,0,5,1,2,13,1,5,8,3,305400.150,287226,1,4300
3,0,2,47,0,20,1,3,11,2,3,7,6,361337.150,347130,1,4350
3,7,2,60,0,24,1,3,16,9,4,5,10,452558.100,455363,1,4400
1,3,2,39,0,9,0,3,11,2,0,16,3,304157.850,297649,1,4450
2,1,4,44,0,5,0,2,8,2,0,7,4,305129.250,290790,1,4500
2,8,4,44,0,18,0,4,18,6,0,21,9,402454.450,415161,1,4550
2,3,7,40,0,11,0,2,10,2,0,12,11,344159.550,342535,1,4600
1,2,6,45,0,5,1,2,13,1,7,7,5,305517.850,326433,1,4650
4,4,7,48,0,13,0,2,16,1,0,4,21,370582.400,389439,1,4700
1,1,3,51,0,5,1,3,9,4,5,5,2,323538.950,321603,1,4750
1,3,1,43,0,8,1,4,7,1,3,11,4,295616.400,288352,1,4800
2,2,4,45,0,10,1,3,7,2,4,13,6,329223.900,337255,1,4850
4,3,3,49,0,14,1,2,11,3,2,6,11,363367.400,357314,1,4900
2,0,1,40,0,2,1,2,8,0,3,7,3,258147.050,241104,1,4950
3,0,4,40,0,11,1,3,12,3,1,17,5,343985.150,335693,1,5000
3,3,2,47,0,12,1,2,13,3,3,7,10,351119.000,341412,1,5050
3,1,5,48,0,9,1,1,10,2,5,5,15,312203.700,353897,1,5100
2,1,0,45,0,5,0,1,5,2,0,1,5,261113.400,246442,1,5150
1,2,2,48,0,6,1,2,12,2,7,3,2,298313.450,299630,1,5200
3,2,3,45,0,18,0,3,11,2,0,12,7,337915.300,352798,1,5250
2,3,2,41,0,8,1,3,9,1,1,14,2,297482.900,291981,1,5300
3,0,3,43,0,6,1,4,7,2,1,14,7,306312.050,312619,1,5350
2,3,2,49,0,13,1,2,11,2,1,7,5,329299.650,331467,1,5400
1,2,5,41,0,10,1,3,15,4,1,10,8,320229.850,335595,1,5450
2,3,2,48,0,11,0,3,4,2,0,9,4,317031.400,312486,1,5500
1,0,4,42,0,8,0,2,6,4,0,7,6,300313.400,295223,1,5550
3,6,1,59,0,14,1,4,9,6,2,11,7,389763.100,404705,1,5600
2,3,1,47,0,8,1,1,11,1,2,4,8,319339.250,296814,1,5650
2,0,1,45,0,6,0,2,5,2,0,4,4,287233.250,263232,1,5700
1,0,1,43,0,13,0,4,9,3,0,13,2,304594.700,307538,1,5750
0,3,3,42,0,4,1,2,14,1,7,8,0,299861.750,284807,1,5800
2,2,1,46,0,7,1,3,10,1,4,9,3,311886.450,297764,1,5850
3,2,2,51,0,19,0,4,9,7,0,14,7,379965.550,396043,1,5900
1,1,4,52,0,6,1,2,6,5,4,8,2,354111.650,340002,1,5950
3,1,4,44,0,10,0,2,8,3,0,8,10,331252.200,323926,1,6000
3,0,1,43,0,2,1,1,9,0,1,1,10,254082.750,249064,1,6050
2,0,2,48,0,15,1,3,8,3,1,11,4,339085.400,340009,1,6100
2,1,2,52,0,10,1,3,6,3,1,7,4,335358.500,329188,1,6150
2,0,2,37,0,6,0,2,9,0,0,7,12,270881.400,259705,1,6200
4,2,5,43,0,14,0,3,13,2,0,10,16,352453.350,363094,1,6250
4,1,2,47,0,4,0,0,15,1,0,0,14,322709.600,296872,1,6300
3,2,4,49,0,11,1,2,11,3,3,4,9,336286.550,345450,1,6350
3,1,0,47,0,17,0,4,7,0,0,4,9,314137.750,305385,1,6400
3,0,5,53,0,14,1,2,11,4,3,6,9,370276.150,386257,1,6450
3,3,1,44,0,9,1,2,10,0,4,5,11,295409.250,295514,1,6500
1,0,1,40,0,0,1,0,8,0,3,0,5,227919.450,215131,1,6550
0,0,1,38,0,0,1,2,10,0,8,3,0,239925.300,217477,1,6600
2,0,3,45,0,6,0,2,7,2,0,2,7,289629.100,279730,1,6650
3,3,0,50,0,18,1,3,14,1,1,8,4,345618.000,341437,1,6700
3,0,7,46,0,15,1,3,8,5,1,13,13,373268.800,396073,1,6750
1,1,1,46,0,14,1,3,12,1,1,5,6,315010.650,307000,1,6800
